단어,좌문맥ID,우문맥ID,가중치(단어비용),품사태그,의미분류,종성 유무,읽기,타입,첫 품사,마지막 품사,원형,인덱스 표현
인삼앵속탕,1786,3546,2953,NNP,*,T,인삼앵속탕,Compound,*,*,*,인삼/NNP/*+앵속/NNP/*+탕/NNP/*
인삼양영탕,1786,3546,2953,NNP,*,T,인삼양영탕,*,*,*,*,인삼양영탕/NNP/*
인삼양위탕,1786,3546,2953,NNP,*,T,인삼양위탕,*,*,*,*,인삼양위탕/NNP/*
인삼오수유탕,1786,3546,2953,NNP,*,T,인삼오수유탕,Compound,*,*,*,인삼/NNP/*+오수/NNP/*+유탕/NNP/*
인삼진피탕,1786,3546,2953,NNP,*,T,인삼진피탕,Compound,*,*,*,인삼/NNP/*+진피/NNP/*+탕/NNP/*
인숙보심탕,1786,3546,2953,NNP,*,T,인숙보심탕,Compound,*,*,*,인숙/NNP/*+탕/NNP/*
인진호탕,1786,3546,2953,NNP,*,T,인진호탕,Compound,*,*,*,인진호/NNP/*+탕/NNP/*
자감초탕,1786,3546,2953,NNP,*,T,자감초탕,Compound,*,*,*,자감/NNP/*+초/NNP/*+탕/NNP/*
자신보원탕,1786,3546,2953,NNP,*,T,자신보원탕,Compound,*,*,*,자신/NNP/*+보원/NNP/*+탕/NNP/*
자윤탕,1786,3546,2953,NNP,*,T,자윤탕,*,*,*,*,탕/NNP/*
자음강화탕,1786,3546,2953,NNP,*,T,자음강화탕,*,*,*,*,자음강화탕/NNP/*
자음건비탕,1786,3546,2953,NNP,*,T,자음건비탕,Compound,*,*,*,음건/NNP/*+비탕/NNP/*
작약감초부자탕,1786,3546,2953,NNP,*,T,작약감초부자탕,Compound,*,*,*,작약/NNP/*+감초/NNP/*+부자/NNP/*+탕/NNP/*
작약감초탕,1786,3546,2953,NNP,*,T,작약감초탕,Compound,*,*,*,작약/NNP/*+감초/NNP/*+탕/NNP/*
작약탕,1786,3546,2953,NNP,*,T,작약탕,Compound,*,*,*,작약/NNP/*+탕/NNP/*
장담보심탕,1786,3546,2953,NNP,*,T,장담보심탕,Compound,*,*,*,장담/NNP/*+탕/NNP/*
저령차전자탕,1786,3546,2953,NNP,*,T,저령차전자탕,Compound,*,*,*,저령/NNP/*+차전자/NNP/*+탕/NNP/*
저령탕,1786,3546,2953,NNP,*,T,저령탕,*,*,*,*,저령탕/NNP/*
적백하오관중탕,1786,3546,2953,NNP,*,T,적백하오관중탕,Compound,*,*,*,적백/NNP/*+관중/NNP/*+탕/NNP/*
전호지황탕,1786,3546,2953,NNP,*,T,전호지황탕,Compound,*,*,*,전호/NNP/*+지황탕/NNP/*
정기천향탕,1786,3546,2953,NNP,*,T,정기천향탕,Compound,*,*,*,정기/NNP/*+천/NNP/*+향탕/NNP/*
정신사간탕,1786,3546,2953,NNP,*,T,정신사간탕,Compound,*,*,*,정신사/NNP/*+간/NNP/*+탕/NNP/*
정천탕,1786,3546,2953,NNP,*,T,정천탕,Compound,*,*,*,정천/NNP/*+탕/NNP/*
정천화담강기탕,1786,3546,2953,NNP,*,T,정천화담강기탕,Compound,*,*,*,정천/NNP/*+화담/NNP/*+강기/NNP/*+탕/NNP/*
조각대황탕,1786,3546,2953,NNP,*,T,조각대황탕,Compound,*,*,*,조각/NNP/*+대황/NNP/*+탕/NNP/*
조경종옥탕,1786,3546,2953,NNP,*,T,조경종옥탕,Compound,*,*,*,조경/NNP/*+종옥/NNP/*+탕/NNP/*
조리폐원탕,1786,3546,2953,NNP,*,T,조리폐원탕,Compound,*,*,*,조리/NNP/*+폐원/NNP/*+탕/NNP/*
조위속명탕,1786,3546,2953,NNP,*,T,조위속명탕,Compound,*,*,*,조위/NNP/*+속명/NNP/*+탕/NNP/*
조위승기탕,1786,3546,2953,NNP,*,T,조위승기탕,*,*,*,*,조위승기탕/NNP/*
조위승청탕,1786,3546,2953,NNP,*,T,조위승청탕,Compound,*,*,*,조위/NNP/*+승/NNP/*+청/NNP/*+탕/NNP/*
조위탕,1786,3546,2953,NNP,*,T,조위탕,Compound,*,*,*,조위/NNP/*+탕/NNP/*
조중탕,1786,3546,2953,NNP,*,T,조중탕,Compound,*,*,*,조중/NNP/*+탕/NNP/*
증액승기탕,1786,3546,2953,NNP,*,T,증액승기탕,Compound,*,*,*,증액/NNP/*+승기탕/NNP/*
지실치자시탕,1786,3546,2953,NNP,*,T,지실치자시탕,Compound,*,*,*,지실/NNP/*+치자/NNP/*+시탕/NNP/*
지유탕,1786,3546,2953,NNP,*,T,지유탕,Compound,*,*,*,지유/NNP/*+탕/NNP/*
지황백호탕,1786,3546,2953,NNP,*,T,지황백호탕,Compound,*,*,*,지황/NNP/*+백호탕/NNP/*
진간식풍탕,1786,3546,2953,NNP,*,T,진간식풍탕,Compound,*,*,*,진간/NNP/*+식풍/NNP/*+탕/NNP/*
진무탕,1786,3546,2953,NNP,*,T,진무탕,Compound,*,*,*,진무/NNP/*+탕/NNP/*
진인양장탕,1786,3546,2953,NNP,*,T,진인양장탕,*,*,*,*,진인양장탕/NNP/*
천궁계지탕,1786,3546,2953,NNP,*,T,천궁계지탕,Compound,*,*,*,천궁/NNP/*+계지탕/NNP/*
천궁육계탕,1786,3546,2953,NNP,*,T,천궁육계탕,Compound,*,*,*,천궁/NNP/*+육/NNP/*+계탕/NNP/*
천금조위탕,1786,3546,2953,NNP,*,T,천금조위탕,Compound,*,*,*,천금/NNP/*+조위/NNP/*+탕/NNP/*
천민도담탕,1786,3546,2953,NNP,*,T,천민도담탕,Compound,*,*,*,천민/NNP/*+담/NNP/*+탕/NNP/*
천민탕,1786,3546,2953,NNP,*,T,천민탕,Compound,*,*,*,천/NNP/*+민탕/NNP/*
청간탕,1786,3546,2953,NNP,*,T,청간탕,Compound,*,*,*,청간/NNP/*+탕/NNP/*
청뇌탕,1786,3546,2953,NNP,*,T,청뇌탕,Compound,*,*,*,청/NNP/*+뇌/NNP/*+탕/NNP/*
청룡탕,1786,3546,2953,NNP,*,T,청룡탕,Compound,*,*,*,청룡/NNP/*+탕/NNP/*
청상견통탕,1786,3546,2953,NNP,*,T,청상견통탕,Compound,*,*,*,청상/NNP/*+견/NNP/*
청상방풍탕,1786,3546,2953,NNP,*,T,청상방풍탕,Compound,*,*,*,청상/NNP/*+방풍/NNP/*+탕/NNP/*
청서익기탕,1786,3546,2953,NNP,*,T,청서익기탕,Compound,*,*,*,청서/NNP/*+익기/NNP/*+탕/NNP/*
청심산약탕,1786,3546,2953,NNP,*,T,청심산약탕,Compound,*,*,*,청심/NNP/*+산/NNP/*+약탕/NNP/*
청심연자탕,1786,3546,2953,NNP,*,T,청심연자탕,Compound,*,*,*,청심/NNP/*+연자/NNP/*+탕/NNP/*
청심열다탕,1786,3546,2953,NNP,*,T,청심열다탕,Compound,*,*,*,청심/NNP/*+열/NNP/*+다탕/NNP/*
청심지황탕,1786,3546,2953,NNP,*,T,청심지황탕,Compound,*,*,*,청심/NNP/*+지황탕/NNP/*
청안탕,1786,3546,2953,NNP,*,T,청안탕,Compound,*,*,*,청안/NNP/*+탕/NNP/*
청영탕,1786,3546,2953,NNP,*,T,청영탕,Compound,*,*,*,청영/NNP/*+탕/NNP/*
청위탕,1786,3546,2953,NNP,*,T,청위탕,Compound,*,*,*,청위/NNP/*+탕/NNP/*
청인이격탕,1786,3546,2953,NNP,*,T,청인이격탕,Compound,*,*,*,청인/NNP/*+격탕/NNP/*
청폐사간탕,1786,3546,2953,NNP,*,T,청폐사간탕,Compound,*,*,*,청/NNP/*+폐사/NNP/*+간/NNP/*+탕/NNP/*
청포축어탕,1786,3546,2953,NNP,*,T,청포축어탕,Compound,*,*,*,청포/NNP/*+축어/NNP/*+탕/NNP/*
청혈강기탕,1786,3546,2953,NNP,*,T,청혈강기탕,Compound,*,*,*,청혈/NNP/*+강기/NNP/*+탕/NNP/*
청혈거습사간탕,1786,3546,2953,NNP,*,T,청혈거습사간탕,Compound,*,*,*,청혈/NNP/*+거습/NNP/*+사간/NNP/*+탕/NNP/*
청호별갑탕,1786,3546,2953,NNP,*,T,청호별갑탕,Compound,*,*,*,청호/NNP/*+별갑/NNP/*+탕/NNP/*
청훈화담탕,1786,3546,2953,NNP,*,T,청훈화담탕,Compound,*,*,*,청훈/NNP/*+화담/NNP/*+탕/NNP/*
탈항삼기탕,1786,3546,2953,NNP,*,T,탈항삼기탕,Compound,*,*,*,탈항/NNP/*+탕/NNP/*
태음마황탕,1786,3546,2953,NNP,*,T,태음마황탕,Compound,*,*,*,태음/NNP/*+마황탕/NNP/*
태음조위탕,1786,3546,2953,NNP,*,T,태음조위탕,Compound,*,*,*,태음조/NNP/*+위탕/NNP/*
택사탕,1786,3546,2953,NNP,*,T,택사탕,Compound,*,*,*,택사/NNP/*+탕/NNP/*
